Month,Gas,Water,Oil
76,36725.49032,2355.585802,0
77,37574.79686,2257.864528,0
78,36007.67309,2311.094056,0
79,36848.89171,2289.121474,0
80,36491.66771,2121.911076,0
81,34981.48775,2247.759354,0
82,35810.50455,2155.452028,0
83,34335.74719,2207.212556,0
84,35156.70152,2116.917932,0
85,34834.38823,2168.102676,0
86,31191.63584,2148.753578,0
87,34238.55497,2061.338514,0
88,32844.40475,2111.670558,0
89,33645.60974,2026.068472,0
90,32281.45379,2075.845782,0
91,33074.79597,2058.101602,0
92,32792.78704,1843.929322,0
93,31471.37843,2025.155096,0
94,32253.01577,1943.741502,0
95,30958.42422,1992.182777,0
96,31732.41244,1912.350281,0
97,31474.85561,1960.266933,0
98,28211.31734,1944.436141,0
99,30997.14768,1866.878328,0
100,29764.2375,1914.020148,0
101,30519.70811,1837.902191,0
102,29309.98657,1884.541072,0
103,30058.15361,1869.905195,0
104,29829.42155,1676.554522,0
105,28652.97364,1842.668734,0
106,29390.32489,1769.900407,0
107,28234.88759,1815.330866,0
108,28965.2015,1743.835499,0
109,28754.29199,1788.792313,0
110,25793.12499,1775.60068,0
111,28362.06918,1705.945,0
112,27255.36389,1750.202936,0
113,27968.72073,1681.716884,0
114,26880.48394,1725.521515,0
115,27587.17753,1713.243373,0
116,27397.62872,1537.036692,0
117,26336.03572,1690.351592,0
118,27032.88177,1624.602086,0
119,25988.20057,1667.318258,0
120,26678.64992,1602.614496,0
121,26502.5113,1644.904208,0
122,24635.46167,1633.742842,0
123,26168.75891,1570.556084,0
124,25163.81765,1612.2166,0
125,25838.77985,1549.997841,0
126,24848.89343,1591.250243,0
127,25517.81845,1580.802822,0
128,25358.04168,1469.47819,0
129,24389.96951,1560.966834,0
130,25049.97761,1501.038227,0
131,24095.8105,1541.30414,0
132,24750.02888,1482.248772,0
133,24600.60091,1522.130648,0
134,22093.10093,1512.568405,0
135,24321.61655,1454.78382,0
136,23400.09678,1494.098899,0
137,24040.39214,1437.127709,0
138,23131.392,1476.075005,0
139,23766.22368,1467.080956,0
140,23629.50917,1317.465461,0
141,22738.71527,1450.262593,0
142,23365.47639,1395.211339,0
143,22486.3283,1433.274802,0
144,23107.84835,1378.963563,0
145,22979.30072,1416.680381,0
146,20646.30851,1408.39355,0
147,22738.93889,1355.162128,0
148,21887.25888,1392.367057,0
149,22496.17047,1339.828619,0
150,21655.07073,1376.701201,0
151,22259.03207,1368.874194,0
152,22140.6125,1229.748658,0
153,21314.94535,1354.220879,0
154,21911.59144,1303.323839,0
155,21095.82498,1339.397081,0
156,21687.71826,1289.134843,0
157,21575.86255,1324.894304,0
158,19392.78313,1317.643742,0
159,21366.44256,1268.309954,0
160,20574.11832,1303.605755,0
161,21154.56961,1254.869165,0
162,20371.30892,1289.863732,0
163,20947.26445,1282.990522,0
164,20843.6147,1152.983106,0
165,20073.6083,1270.109588,0
166,20642.91629,1222.790412,0
167,19881.43441,1257.038165,0
168,20446.42079,1210.219228,0
169,20348.12978,1244.115142,0
170,18947.27948,1237.598705,0
171,20160.81045,1191.503799,0
172,19419.70937,1224.87553,0
173,19974.21507,1179.254505,0
174,19240.9658,1212.283156,0
175,19791.37738,1205.933449,0
176,19699.86268,1122.41232,0
177,18978.12119,1193.738019,0
178,19522.47507,1149.276724,0
179,18808.15086,1181.465755,0
180,19348.56395,1137.461546,0
181,19261.48163,1169.319657,0
182,17323.3318,1163.194984,0
183,19098.10291,1119.871278,0
184,18401.44942,1151.236719,0
185,18932.35815,1108.358404,0
186,18242.57796,1139.401392,0
187,18769.74506,1133.433425,0
188,18688.16754,1018.642729,0
189,18008.0248,1122.161262,0
190,18528.76029,1080.365874,0
191,17854.41906,1110.624845,0
192,18370.71276,1069.259137,0
193,18290.91089,1099.20703,0
194,16452.51971,1093.449593,0
195,18139.98638,1052.723585,0
196,17479.79431,1082.208348,0
197,17985.25503,1041.901025,0
198,17330.69429,1071.082669,0
199,17831.84352,1065.472543,0
200,17754.38249,957.5647188,0
201,17108.22419,1054.87626,0
202,17602.94027,1015.586933,0
203,16962.29362,1044.03157,0
204,17452.78985,1005.146157,0
205,17376.97541,1033.298368,0
206,15630.44247,1027.886149,0
207,17233.59209,989.6020798,0
208,16606.38761,1017.318931,0
209,17086.59215,979.4284428,0
210,16464.73762,1006.86035,0
211,16940.8461,1001.586608,0
212,16867.25553,900.1489574,0
213,16253.3836,991.6256806,0
214,16723.38038,954.6921484,0
215,16114.74469,981.4312398,0
216,16580.73247,944.877404,0
217,16508.70623,971.3416032,0
218,15378.69972,966.2539016,0
219,16370.18821,930.2653522,0
220,15774.4067,956.3202962,0
221,16230.55298,920.7017284,0
222,15639.85339,946.4888134,0
223,16092.1088,941.531286,0
224,16022.20512,876.322252,0
225,15439.08821,932.0097166,0
226,15885.53813,897.2966068,0
227,15307.39511,922.4281596,0
228,15750.03689,888.0719192,0
229,15681.61916,912.9451062,0
230,14105.48385,908.1632742,0
231,15552.2248,874.3383358,0
232,14986.2125,898.8268714,0
233,15419.56667,865.3496714,0
234,14858.38236,889.5864518,0
235,15288.04009,884.926968,0
236,15221.62927,795.3042514,0
237,14667.64875,876.126238,0
238,15091.79106,843.4945328,0
239,14542.53592,867.119193,0
240,14963.06036,834.8229592,0
241,14898.06124,858.2047452,0
242,13400.68013,853.7096328,0
243,14775.13229,821.912844,0
244,14237.40171,844.9330424,0
245,14649.10263,813.4631416,0
246,14115.95882,836.2466802,0
247,14524.148,831.8665798,0
248,14461.0555,747.6176584,0
249,13934.75553,823.5935432,0
250,14337.70487,792.9184414,0
251,13815.89417,815.1265624,0
252,14215.40642,784.766817,0
253,14153.65508,806.7466266,0
254,12731.09309,802.521042,0
255,14036.86847,772.6307946,0
256,13526.00649,794.2706976,0
257,13917.1361,764.687738,0
258,13410.6317,786.1051712,0
259,13798.42503,781.9877026,0
260,13738.48505,702.7903624,0
261,13238.48252,774.2107188,0
262,13621.29785,745.374902,0
263,13125.56027,766.2514198,0
264,13505.11022,737.7120504,0
265,13446.4444,758.3739466,0
266,12526.04704,754.4017288,0
267,13333.62061,726.3037064,0
268,12848.35284,746.6460766,0
269,13219.88684,718.8369168,0
270,12738.75833,738.9701568,0
271,13107.1232,735.0995724,0
272,13050.18621,684.1876868,0
273,12575.23385,727.6656168,0
274,12938.87009,700.5633926,0
275,12467.969,720.1848262,0
276,12828.50348,693.3612274,0
277,12772.77682,712.7809422,0
278,11489.00476,709.0475318,0
279,12667.38431,682.6387464,0
280,12206.36374,701.758145,0
281,12559.33343,675.620856,0
282,12102.2453,694.543697,0
283,12452.20421,690.90581,0
284,12398.11217,620.9329672,0
285,11946.89158,684.034649,0
286,12292.35815,658.5574794,0
287,11844.98639,677.0024082,0
288,12187.50618,651.7871572,0
289,12134.56399,670.0424622,0
290,10914.93772,666.532908,0
291,12034.43759,641.7075982,0
292,11596.45268,659.6805942,0
293,11931.78565,635.1105018,0
294,11497.53668,652.8987258,0
295,11830.00932,649.478967,0
296,11778.62009,583.7017092,0
297,11349.94547,643.0198024,0
298,11678.15023,619.0702486,0
299,11253.13215,636.4092158,0
300,11578.53737,612.7058762,0
301,11528.24052,629.8665898,0
302,10369.55489,626.567469,0
303,11433.1171,603.2306894,0
304,11017.01683,620.1260212,0
305,11335.59434,597.0291562,0
306,10923.04334,613.750795,0
307,11238.90343,610.5360856,0
308,11190.08194,548.7028446,0
309,10782.82676,604.4642136,0
310,11094.63223,581.9506796,0
311,10690.85087,598.2499992,0
312,10999.99669,575.9679162,0
313,10952.213,592.09967,0
314,10202.5436,588.9983652,0
315,10860.31733,567.0608634,0
316,10465.0637,582.9431478,0
317,10767.68045,561.2311752,0
318,10375.79828,576.9501814,0
319,10675.83377,573.9282266,0
320,10629.45824,534.178825,0
321,10242.60656,568.1241736,0
322,10538.79056,546.9641402,0
323,10155.23867,562.2835542,0
324,10448.89626,541.3410572,0
325,10403.50655,556.5029794,0
326,9357.866183,553.588123,0
327,10317.66368,532.9694912,0
328,9942.159555,547.896942,0
329,10229.65557,527.4902806,0
330,9857.35443,542.2642692,0
331,10142.39815,539.4239926,0
332,10098.33986,484.7927684,0
333,9730.817858,534.0593408,0
334,10012.20254,514.1680672,0
335,9647.815448,528.568926,0
336,9926.79996,508.8821452,0
337,9883.678215,523.1349556,0
338,8890.28499,520.3948746,0
339,9802.124633,501.01254,0
340,9445.38318,515.0449378,0
341,9718.513988,495.8618638,0
342,9364.815488,509.7500012,0
343,9635.616525,507.0800282,0
344,9593.759678,455.7245024,0
345,9244.60152,502.037042,0
346,9511.926353,483.3384528,0
347,9165.746468,496.8758334,0
348,9430.791053,478.3694756,0
349,9389.823953,491.7676848,0
350,8446.067265,489.1918998,0
351,9312.345338,470.9717334,0
352,8973.42906,484.1627462,0
353,9232.912433,466.1298928,0
354,8896.88706,479.1852948,0
355,9154.157085,476.6754138,0
356,9114.391673,428.3991752,0
357,8782.679783,471.9348062,0
358,9036.647288,454.3573878,0
359,8707.764855,467.0830646,0
360,8959.566053,449.6863516,0
361,8920.645943,462.2812016,0
362,8310.035528,459.859861,0
363,8845.796333,442.7321794,0
364,8523.859785,455.1322564,0
365,8770.343025,438.1806564,0
366,8451.152543,450.4532542,0
367,8695.533323,448.093866,0
368,8657.760165,417.059562,0
369,8342.66706,443.5623578,0
370,8583.910778,427.0416836,0
371,8271.505365,439.0023002,0
372,8510.691315,422.6514674,0
373,8473.7211,434.4891224,0
374,7622.040495,432.2133514,0
375,8403.801555,416.115376,0
376,8097.951098,427.7699676,0
377,8332.1184,411.837488,0
378,8028.876795,423.3722642,0
379,8261.046683,421.1547212,0
380,8225.160923,378.5014498,0
381,7925.81196,416.966275,0
382,8155.001543,401.4361836,0
383,7858.205985,412.6796394,0
384,8085.44061,397.3092056,0
385,8050.317675,408.4370726,0
386,7241.192689,406.2977572,0
387,7983.891773,391.1650194,0
388,7693.323638,402.1207996,0
389,7915.790385,387.1436344,0
390,7627.700745,397.9867834,0
391,7848.269888,395.9022046,0
392,7814.177213,355.8064314,0
393,7529.785718,391.9648984,0
394,7747.52346,377.3659942,0
395,7465.557782,387.9352902,0
396,7681.438253,373.4864706,0
397,7648.070295,383.9471086,0
398,6879.374574,381.936067,0
399,7584.96348,367.710691,0
400,7308.914054,378.0095606,0
401,7520.26488,363.930429,0
402,7246.570119,374.1234206,0
403,7456.118157,372.1638336,0
404,7423.728985,334.4722106,0
405,7153.547578,368.462609,0
406,7360.405697,354.739058,0
407,7092.528896,364.674617,0
408,7297.622546,351.0921514,0
409,7265.921874,360.9255674,0
410,6768.575876,359.0351082,0
411,7204.956401,345.6626886,0
412,6942.737069,355.3440358,0
413,7143.49921,342.1090918,0
414,6883.516568,351.6909096,0
415,7082.566239,349.84882,0
416,7051.799765,325.6188194,0
417,6795.154461,346.3108494,0
418,6991.648977,333.4123504,0
419,6737.192818,342.7505892,0
420,6932.011265,329.9846936,0
421,6901.898799,339.2269304,0
422,6208.199618,337.4501246,0
423,6844.948892,324.881647,0
424,6595.83178,333.9809574,0
425,6786.56251,321.5416904,0
426,6539.57033,330.547455,0
427,6728.674155,328.8161106,0
428,6699.44498,295.5146132,0
429,6455.62338,325.5459856,0
430,6642.299724,313.420883,0
431,6400.557887,322.1991992,0
432,6585.641909,310.198749,0
433,6557.034062,318.8868196,0
434,5897.996702,317.2165514,0
435,6502.92975,305.4016822,0
436,6266.260185,313.955396,0
437,6447.46074,302.26199,0
438,6212.809931,310.7277672,0
439,6392.464872,309.1002346,0
440,6364.696181,277.7955012,0
441,6133.057529,306.0261868,0
442,6310.406282,294.6281076,0
443,6080.743473,302.8800744,0
444,6256.579468,291.5991736,0
445,6229.401059,299.7663058,0
446,5603.293586,298.196187,0
447,6178.000159,287.0897396,0
448,5953.156178,295.1305712,0
449,6125.302749,284.138304,0
450,5902.376653,292.0964716,0
451,6073.05484,290.566526,0
452,6046.673657,261.1388306,0
453,5826.609212,287.6767988,0
454,5995.096442,276.9621506,0
455,5776.909114,284.719328,0
456,5943.959174,274.114832,0
457,5918.138778,281.7922614,0
458,5513.047355,280.3162874,0
459,5868.48202,269.8757846,0
460,5654.902734,277.4344864,0
461,5818.424753,267.1013176,0
462,5606.667267,274.582312,0
463,5768.794468,273.1441024,0
464,5743.734983,254.2265546,0
465,5534.695778,270.3818356,0
466,5694.74179,260.3113458,0
467,5487.485658,267.6021662,0
468,5646.166501,257.6352064,0
469,5621.639709,264.8510732,0
470,5056.61739,263.4638338,0
471,5575.253654,253.651008,0
472,5372.346209,260.7552852,0
473,5527.697581,251.0433404,0
474,5326.520906,258.0745818,0
475,5480.547154,256.7228364,0
476,5456.739808,230.722727,0
477,5258.145591,254.1696896,0
478,5410.19464,244.7030284,0
479,5213.294402,251.5566898,0
480,5364.046496,242.1873508,0
481,5340.745225,248.9705528,0
482,4803.955177,247.6664926,0
483,5296.676925,238.4420458,0
484,5103.908085,245.120349,0
485,5251.49707,235.9907344,0
486,5060.372519,242.600381,0
487,5206.702592,241.3296866,0
488,5184.084818,216.8885488,0
489,4995.413689,238.929627,0
490,5139.865357,230.0305886,0
491,4952.803564,236.473303,0
492,5096.02308,227.6657514,0
493,5073.886096,234.0422314,0
494,4563.917647,232.816363,0
495,5032.019741,224.1450156,0
496,4848.882914,230.4228866,0
497,4989.097372,221.8406854,0
498,4807.522674,228.0540164,0
499,4946.541124,226.859513,0
500,4925.053485,203.8838704,0
501,4745.809619,224.6033616,0
502,4883.043521,216.237911,0
503,4705.328579,222.2943192,0
504,4841.391896,214.01487,0
505,4820.361023,220.009015,0
506,4490.411527,218.8566498,0
507,4779.915284,210.7052382,0
508,4605.953621,216.6066868,0
509,4739.143327,208.539076,0
510,4566.665531,214.3798546,0
511,4698.719149,213.2569738,0
512,4678.308042,198.487118,0
513,4508.044304,211.100337,0
514,4638.40278,203.2378126,0
515,4469.591365,208.930113,0
516,4598.837903,201.1484194,0
517,4578.860678,206.7822,0
518,4118.646468,205.6991142,0
519,4541.078946,198.0377607,0
520,4375.809564,203.5844176,0
521,4502.344227,196.0018269,0
522,4338.484568,201.4914612,0
523,4463.93991,200.4360876,0
524,4444.548678,180.1365291,0
525,4282.792447,198.4427208,0
526,4406.637348,191.0516349,0
527,4246.260874,196.4026238,0
528,4369.049396,189.0875222,0
529,4350.070365,194.3835001,0
530,3912.851516,193.3653565,0
531,4314.176459,186.1633792,0
532,4157.165035,191.3774575,0
533,4277.377185,184.2495204,0
534,4121.705044,189.4099952,0
535,4240.891802,188.4179018,0
536,4222.469486,169.3355088,0
537,4068.795671,186.5440578,0
538,4186.452458,179.5961428,0
539,4034.089457,184.6262854,0
540,4150.742649,177.7497987,0
541,4132.711937,182.7282287,0
542,3717.339448,181.7711332,0
543,4098.61153,175.0009878,0
544,3949.445439,179.902429,0
545,4063.650992,173.2018843,0
546,3915.757265,178.0529361,0
547,4028.988662,177.1203288,0
548,4011.486845,159.1821197,0
549,3865.491596,175.3588409,0
550,3977.269467,168.8275241,0
551,3832.519536,173.5560585,0
552,3943.343959,167.0918872,0
553,3926.214181,171.7718096,0
554,3657.468254,170.8721017,0
555,3893.270873,164.5078955,0
556,3751.578011,169.1154454,0
557,3860.06186,162.8166666,0
558,3719.577617,167.3768484,0
559,3827.136113,166.5001605,0
560,3810.511139,154.968611,0
561,3671.83026,164.8163685,0
562,3778.008054,158.6777107,0
563,3640.510102,163.1219683,0
564,3745.782215,157.0464193,0
565,3729.51064,161.4449875,0
566,3354.66329,160.5993695,0
567,3698.737184,154.6177757,0
568,3564.124239,158.9483223,0
569,3667.187513,153.0282225,0
570,3533.722796,157.3142488,0
571,3635.906957,156.4902668,0
572,3620.112677,140.6414078,0
573,3488.361216,154.9339479,0
574,3589.233662,149.1633652,0
575,3458.606021,153.3411443,0
576,3558.618039,147.6298863,0
577,3543.1595,151.7647156,0
578,3187.042016,150.969801,0
579,3513.92369,145.3468647,0
580,3386.036903,149.4177509,0
581,3483.950451,143.8526214,0
582,3357.154519,147.8816567,0
583,3454.232879,147.1070809,0
584,3439.227786,132.2085224,0
585,3314.059504,145.6440791,0
586,3409.891692,140.2195017,0
587,3285.791076,144.1467803,0
588,3380.80583,138.7779704,0
589,3366.119702,142.6648746,0
590,3027.796214,141.9176232,0
591,3338.344707,136.6318392,0
592,3216.847994,140.4586344,0
593,3309.86913,135.2271911,0
594,3189.408766,139.0146447,0
595,3281.636446,138.2865125,0
596,3267.381107,124.2812744,0
597,3148.467065,136.9112327,0
598,3239.510839,131.8119139,0
599,3121.611115,135.5037122,0
600,3211.8783,130.4568171,0
