MONTHS,DATE,GAS,WATER
291,4/1/2044,49.79426117,0
292,5/1/2044,49.58144007,0
293,6/1/2044,49.36605966,0
294,7/1/2044,49.15506378,0
295,8/1/2044,48.94497462,0
296,9/1/2044,48.73577849,0
297,10/1/2044,48.52748136,0
298,11/1/2044,48.31667932,0
299,12/1/2044,48.11692076,0
300,1/1/2045,47.91800202,0
301,2/1/2045,47.71319528,0
302,3/1/2045,47.50926868,0
303,4/1/2045,47.30620892,0
304,5/1/2045,47.10402179,0
305,6/1/2045,46.89940321,0
306,7/1/2045,46.69895008,0
307,8/1/2045,46.49935837,0
308,9/1/2045,46.30061508,0
309,10/1/2045,46.10272586,0
310,11/1/2045,45.90245688,0
311,12/1/2045,45.71267959,0
312,1/1/2046,45.52370015,0
313,2/1/2046,45.32912692,0
314,3/1/2046,45.13538985,0
315,4/1/2046,44.94247631,0
316,5/1/2046,44.75039178,0
317,6/1/2046,44.55599731,0
318,7/1/2046,44.36556015,0
319,8/1/2046,44.17594137,0
320,9/1/2046,43.98712861,0
321,10/1/2046,43.79912725,0
322,11/1/2046,43.60886505,0
323,12/1/2046,43.42857029,0
324,1/1/2047,43.24903352,0
325,2/1/2047,43.06418246,0
326,3/1/2047,42.88012578,0
327,4/1/2047,42.69685148,0
328,5/1/2047,42.51436478,0
329,6/1/2047,42.32968354,0
330,7/1/2047,42.14876189,0
331,8/1/2047,41.96861773,0
332,9/1/2047,41.78923931,0
333,10/1/2047,41.61063175,0
334,11/1/2047,41.4298763,0
335,12/1/2047,41.25569526,0
336,1/1/2048,41.08225462,0
337,2/1/2048,40.90666462,0
338,3/1/2048,40.73182919,0
339,4/1/2048,40.55773694,0
340,5/1/2048,40.38439282,0
341,6/1/2048,40.20896413,0
342,7/1/2048,40.03710666,0
343,8/1/2048,39.86598773,0
344,9/1/2048,39.69559618,0
345,10/1/2048,39.52593687,0
346,11/1/2048,39.35423728,0
347,12/1/2048,39.19153269,0
348,1/1/2049,39.02951213,0
349,2/1/2049,38.86269577,0
350,3/1/2049,38.69659628,0
351,4/1/2049,38.53120283,0
352,5/1/2049,38.36652014,0
353,6/1/2049,38.19985704,0
354,7/1/2049,38.03658671,0
355,8/1/2049,37.87401802,0
356,9/1/2049,37.71214036,0
357,10/1/2049,37.55095835,0
358,11/1/2049,37.38783802,0
359,12/1/2049,37.23326323,0
360,1/1/2050,37.07933829,0
361,2/1/2050,36.92085719,0
362,3/1/2050,36.76305713,0
363,4/1/2050,36.60592784,0
364,5/1/2050,36.4494738,0
365,6/1/2050,36.29113828,0
366,7/1/2050,36.13602603,0
367,8/1/2050,35.98158035,0
368,9/1/2050,35.82779118,0
369,10/1/2050,35.67466289,0
370,11/1/2050,35.51969314,0
371,12/1/2050,35.37284193,0
372,1/1/2051,35.22660811,0
373,2/1/2051,35.07604577,0
374,3/1/2051,34.92613045,0
375,4/1/2051,34.77685239,0
376,5/1/2051,34.62821582,0
377,6/1/2051,34.47779181,0
378,7/1/2051,34.33042999,0
379,8/1/2051,34.18370144,0
380,9/1/2051,34.0375966,0
381,10/1/2051,33.89211962,0
382,11/1/2051,33.74489319,0
383,12/1/2051,33.60302164,0
384,1/1/2052,33.46175315,0
385,2/1/2052,33.318734,0
386,3/1/2052,33.17632945,0
387,4/1/2052,33.03453022,0
388,5/1/2052,32.89334036,0
389,6/1/2052,32.75045259,0
390,7/1/2052,32.61047361,0
391,8/1/2052,32.47109617,0
392,9/1/2052,32.33231119,0
393,10/1/2052,32.19412262,0
394,11/1/2052,32.05427223,0
395,12/1/2052,31.92174832,0
396,1/1/2053,31.78978156,0
397,2/1/2053,31.65390859,0
398,3/1/2053,31.51861952,0
399,4/1/2053,31.38390553,0
400,5/1/2053,31.24977045,0
401,6/1/2053,31.1140223,0
402,7/1/2053,30.9810376,0
403,8/1/2053,30.84862439,0
404,9/1/2053,30.71677402,0
405,10/1/2053,30.58549027,0
406,11/1/2053,30.45262774,0
407,12/1/2053,30.32672561,0
408,1/1/2054,30.20135279,0
409,2/1/2054,30.07226893,0
410,3/1/2054,29.9437398,0
411,4/1/2054,29.81575701,0
412,5/1/2054,29.68832422,0
413,6/1/2054,29.55935895,0
414,7/1/2054,29.43301905,0
415,8/1/2054,29.30722208,0
416,9/1/2054,29.18195984,0
417,10/1/2054,29.05723589,0
418,11/1/2054,28.93101206,0
419,12/1/2054,28.81140083,0
420,1/1/2055,28.69229247,0
421,2/1/2055,28.5696585,0
422,3/1/2055,28.44755154,0
423,4/1/2055,28.32596362,0
424,5/1/2055,28.20489822,0
425,6/1/2055,28.08237691,0
426,7/1/2055,27.96234979,0
427,8/1/2055,27.84283847,0
428,9/1/2055,27.72383517,0
429,10/1/2055,27.60534326,0
430,11/1/2055,27.48542641,0
431,12/1/2055,27.36987114,0
432,1/1/2056,27.25480708,0
433,2/1/2056,27.13831708,0
434,3/1/2056,27.02232769,0
435,4/1/2056,26.90683133,0
436,5/1/2056,26.79183131,0
437,6/1/2056,26.67544833,0
438,7/1/2056,26.56143457,0
439,8/1/2056,26.44791077,0
440,9/1/2056,26.33486954,0
441,10/1/2056,26.22231408,0
442,11/1/2056,26.10840507,0
443,12/1/2056,26.00046352,0
444,1/1/2057,25.89297577,0
445,2/1/2057,25.78230639,0
446,3/1/2057,25.67211259,0
447,4/1/2057,25.5623872,0
448,5/1/2057,25.45313334,0
449,6/1/2057,25.34256563,0
450,7/1/2057,25.23424876,0
451,8/1/2057,25.12639737,0
452,9/1/2057,25.01900442,0
453,10/1/2057,24.91207299,0
454,11/1/2057,24.80385563,0
455,12/1/2057,24.70130755,0
456,1/1/2058,24.5991906,0
457,2/1/2058,24.494051,0
458,3/1/2058,24.38936322,0
459,4/1/2058,24.28512044,0
460,5/1/2058,24.18132563,0
461,6/1/2058,24.07628261,0
462,7/1/2058,23.97337797,0
463,8/1/2058,23.87091555,0
464,9/1/2058,23.76888867,0
465,10/1/2058,23.66730024,0
466,11/1/2058,23.56449014,0
467,12/1/2058,23.46706605,0
468,1/1/2059,23.37005154,0
469,2/1/2059,23.27016541,0
470,3/1/2059,23.17070853,0
471,4/1/2059,23.07167441,0
472,5/1/2059,22.97306588,0
473,6/1/2059,22.87327151,0
474,7/1/2059,22.77550867,0
475,8/1/2059,22.67816595,0
476,9/1/2059,22.58123702,0
477,10/1/2059,22.48472462,0
478,11/1/2059,22.38705159,0
479,12/1/2059,22.29293111,0
480,1/1/2060,22.19921071,0
481,2/1/2060,22.10432888,0
482,3/1/2060,22.00985479,0
483,4/1/2060,21.91578229,0
484,5/1/2060,21.82211405,0
485,6/1/2060,21.72731938,0
486,7/1/2060,21.63445447,0
487,8/1/2060,21.54198863,0
488,9/1/2060,21.44991583,0
489,10/1/2060,21.35823871,0
490,11/1/2060,21.26545911,0
491,12/1/2060,21.17754004,0
492,1/1/2061,21.0899906,0
493,2/1/2061,20.99984969,0
494,3/1/2061,20.91009616,0
495,4/1/2061,20.82072414,0
496,5/1/2061,20.73173619,0
497,6/1/2061,20.6416781,0
498,7/1/2061,20.55345333,0
499,8/1/2061,20.4656077,0
500,9/1/2061,20.37813547,0
501,10/1/2061,20.29103915,0
502,11/1/2061,20.20289543,0
503,12/1/2061,20.11936938,0
504,1/1/2062,20.03619449,0
505,2/1/2062,19.95055763,0
506,3/1/2062,19.86528877,0
507,4/1/2062,19.78038238,0
508,5/1/2062,19.69584086,0
509,6/1/2062,19.61028266,0
510,7/1/2062,19.52646619,0
511,8/1/2062,19.44300991,0
512,9/1/2062,19.35990838,0
513,10/1/2062,19.27716397,0
514,11/1/2062,19.1934245,0
515,12/1/2062,19.11407197,0
516,1/1/2063,19.03505304,0
517,2/1/2063,18.95369517,0
518,3/1/2063,18.87268691,0
519,4/1/2063,18.792023,0
520,5/1/2063,18.71170574,0
521,6/1/2063,18.6304226,0
522,7/1/2063,18.55079416,0
523,8/1/2063,18.47150791,0
524,9/1/2063,18.39255868,0
525,10/1/2063,18.31394873,0
526,11/1/2063,18.23439344,0
527,12/1/2063,18.15773172,0
528,1/1/2064,18.08139587,0
529,2/1/2064,18.00411402,0
530,3/1/2064,17.92716429,0
531,4/1/2064,17.85054165,0
532,5/1/2064,17.77424828,0
533,6/1/2064,17.69703743,0
534,7/1/2064,17.62139838,0
535,8/1/2064,17.54608437,0
536,9/1/2064,17.47109051,0
537,10/1/2064,17.39641892,0
538,11/1/2064,17.32084935,0
539,12/1/2064,17.24923872,0
540,1/1/2065,17.17792915,0
541,2/1/2065,17.10450882,0
542,3/1/2065,17.03140401,0
543,4/1/2065,16.95860994,0
544,5/1/2065,16.8861287,0
545,6/1/2065,16.81277582,0
546,7/1/2065,16.7409162,0
547,8/1/2065,16.66936538,0
548,9/1/2065,16.5981187,0
549,10/1/2065,16.5271782,0
550,11/1/2065,16.4553846,0
551,12/1/2065,16.38735211,0
552,1/1/2066,16.31960564,0
553,2/1/2066,16.24985388,0
554,3/1/2066,16.18040186,0
555,4/1/2066,16.11124507,0
556,5/1/2066,16.04238548,0
557,6/1/2066,15.97269779,0
558,7/1/2066,15.90442875,0
559,8/1/2066,15.83645309,0
560,9/1/2066,15.76876638,0
561,10/1/2066,15.70137053,0
562,11/1/2066,15.63316421,0
563,12/1/2066,15.56853108,0
564,1/1/2067,15.50416967,0
565,2/1/2067,15.43790317,0
566,3/1/2067,15.37192144,0
567,4/1/2067,15.30622019,0
568,5/1/2067,15.24080127,0
569,6/1/2067,15.17459565,0
570,7/1/2067,15.10973779,0
571,8/1/2067,15.04515864,0
572,9/1/2067,14.980854,0
573,10/1/2067,14.9168257,0
574,11/1/2067,14.85202742,0
575,12/1/2067,14.78958597,0
576,1/1/2068,14.72740994,0
577,2/1/2068,14.6644634,0
578,3/1/2068,14.60178736,0
579,4/1/2068,14.53937774,0
580,5/1/2068,14.47723631,0
581,6/1/2068,14.4143476,0
582,7/1/2068,14.35273911,0
583,8/1/2068,14.29139538,0
584,9/1/2068,14.23031241,0
585,10/1/2068,14.16949194,0
586,11/1/2068,14.10794005,0
587,12/1/2068,14.04961275,0
588,1/1/2069,13.99153066,0
589,2/1/2069,13.93172934,0
590,3/1/2069,13.87218501,0
591,4/1/2069,13.81289379,0
592,5/1/2069,13.75385736,0
593,6/1/2069,13.69411099,0
594,7/1/2069,13.63558087,0
595,8/1/2069,13.57730228,0
596,9/1/2069,13.51927142,0
597,10/1/2069,13.46148994,0
598,11/1/2069,13.4030136,0
599,12/1/2069,13.35610261,0
